Site,Tree,mom,Treatment,Family_Wt,Days_to_germ,Diameter,Height,larg_leaf_length,larg_leaf_width,larg_leaf_thick,Ave_Thick_1,Ave_Thick_2,avg_ave_thick,TLP_TO_CONVERT_1,TLP_TO_CONVERT_2,Osmometer_mpa_1,Osmometer_mpa_2,TLP_mpa_1,TLP_mpa_2,TLP_avg,AREA_mm_1,AREA_mm_2,area_avg,dry_mass_g_1,dry_mass_g_2,dry_mass_avg,soil_mass_1,soil_mass_2,soil_mass_avg,soil_water_potential_1,soil_water_potential_2,soil_WP_avg,leaf_water_potential_1,leaf_water_potential_2,leaf_WP_avg,Latitude,Longitude,Elevation(m),WP_avg_leaf_soil_diff
FH,210-08,210,control1,119.3,110,2.16,85,55,30,0.17,0.09,0.1,0.1,770,758,-1.925,-1.895,-2.2326,-2.2076,-2.2201,16888,12646,14767,0.0421,0.0301,0.0361,369.1,369.1,369.1,-0.94,NA,-0.94,-1.39,NA,-1.39,35.98042,-121.2328,299.6,-0.45
FH,210-09,210,control1,119.3,69,2.7,105,65,40,0.17,0.09,NA,0.09,880,838,-2.2,-2.095,-2.4614,-2.374,-2.4177,54970,NA,54970,0.0566,NA,0.0566,347.6,347.6,347.6,-0.823,NA,-0.823,-1.41,NA,-1.41,35.98042,-121.2328,299.6,-0.587
FH,211-10,211,drought1,129.9,89,2.82,85,50,35,0.16,0.1,0.12,0.11,866,804,-2.165,-2.01,-2.4323,-2.3033,-2.3678,42014,21815,31915,0.0997,0.0618,0.08075,238,238,238,-0.68,NA,-0.68,-1.508,NA,-1.508,35.97619,-121.23695,313.3,-0.828
FH,211-13,211,drought1,129.9,75,2.45,70,45,35,0.19,0.1,0.1,0.1,769,804,-1.9225,-2.01,-2.2305,-2.3033,-2.2669,NA,NA,NA,0.0843,0.0355,0.0599,167.4,167.4,167.4,-1.87,-1.29,-1.58,-1.26,-1.65,-1.455,35.97619,-121.23695,313.3,0.125
FH,212-01,212,control2,91,49,1.92,90,55,25,0.18,0.17,0.15,0.16,813,946,-2.0325,-2.365,-2.322,-2.5987,-2.4604,34924,NA,34924,0.1,NA,0.1,346,346,346,NA,NA,NA,-1.01,NA,-1.01,35.97635,-121.23721,315.4,NA
FH,212-05,212,drought2,91,61,1.75,75,40,20,0.16,0.1,0.1,0.1,996,1008,-2.49,-2.52,-2.7027,-2.7276,-2.7152,23489,28628,26058,0.06,0.06,0.06,137.8,137.8,137.8,-2.1,-2.5,-2.3,-3.5,-2.4,-2.95,35.97635,-121.23721,315.4,-0.65
FH,212-06,212,control2,91,61,2.11,100,35,25,0.16,0.12,0.12,0.12,973,1042,-2.4325,-2.605,-2.6548,-2.7984,-2.7266,18865,15985,17425,NA,NA,NA,232.6,232.6,232.6,-0.4,-0.42,-0.41,-1.26,-1.02,-1.14,35.97635,-121.23721,315.4,-0.73
FH,212-07,212,drought2,91,69,1.81,75,35,25,0.16,0.13,0.12,0.12,1134,1090,-2.835,-2.725,-2.9897,-2.8982,-2.944,32168,NA,32168,0.05,NA,0.05,134.3,134.3,134.3,NA,NA,NA,-3.5,NA,-3.5,35.97635,-121.23721,315.4,NA
FT,214-13,214,drought1,82.6,82,2.25,90,55,35,0.17,0.08,0.11,0.09,864,859,-2.16,-2.1475,-2.4281,-2.4177,-2.4229,29881,23856,26869,0.0486,0.0471,0.04785,214.4,214.4,214.4,-0.63,NA,-0.63,-0.728,NA,-0.728,34.87458,-118.89292,973,-0.098
FT,214-14,214,drought1,82.6,82,2.34,160,65,35,0.17,0.08,0.14,0.11,959,985,-2.3975,-2.4625,-2.6257,-2.6798,-2.6528,19870,15364,17617,0.0351,0.0617,0.0484,178.3,178.3,178.3,-1.67,NA,-1.67,-1.55,NA,-1.55,34.87458,-118.89292,973,0.12
FT,214-15,214,control1,82.6,82,2.31,105,45,25,0.16,0.11,0.1,0.11,717,789,-1.7925,-1.9725,-2.1224,-2.2721,-2.1973,21120,24723,22922,0.0519,0.0562,0.05405,374.9,374.9,374.9,-1.28,NA,-1.28,-1.05,NA,-1.05,34.87458,-118.89292,973,0.23
FT,214-16,214,control1,82.6,82,1.93,110,50,30,0.19,0.1,0.09,0.1,740,703,-1.85,-1.7575,-2.1702,-2.0932,-2.1317,55220,22961,39091,0.169,0.0353,0.10215,354.2,354.2,354.2,-0.64,NA,-0.64,-0.68,NA,-0.68,34.87458,-118.89292,973,-0.04
FT,217-05,217,control1,92.4,82,2.16,65,45,30,0.17,0.09,NA,0.09,717,828,-1.7925,-2.07,-2.1224,-2.3532,-2.2378,23337,NA,23337,0.0603,NA,0.0603,371.1,371.1,371.1,-1.32,NA,-1.32,-1.87,NA,-1.87,34.87443,-118.89521,977,-0.55
FT,217-08,217,control1,92.4,82,1.45,60,40,25,0.17,0.08,0.06,0.07,797,824,-1.9925,-2.06,-2.2888,-2.3449,-2.3169,19454,11486,15470,0.0445,0.0222,0.03335,369.3,369.3,369.3,-0.678,NA,-0.678,-1.87,NA,-1.87,34.87443,-118.89521,977,-1.192
FT,218-04,218,control2,102.7,103,1.78,80,50,30,0.16,0.11,0.1,0.11,966,925,-2.415,-2.3125,-2.6403,-2.555,-2.5977,54062,42232,48147,0.12,0.09,0.105,228.2,228.2,228.2,-0.39,-0.19,-0.29,-1.2,-1.48,-1.34,34.87377,-118.89568,980,-1.05
FT,218-08,218,control2,102.7,75,2.13,95,40,30,0.18,0.1,0.11,0.11,712,686,-1.78,-1.715,-2.112,-2.0579,-2.085,33127,26044,29586,0.12,0.09,0.105,342,342,342,-0.51,NA,-0.51,-1.64,NA,-1.64,34.87377,-118.89568,980,-1.13
FT,218-10,218,drought2,102.7,75,2.26,80,60,30,0.15,0.1,0.1,0.1,1086,1196,-2.715,-2.99,-2.8899,-3.1187,-3.0043,15529,NA,15529,0.03,NA,0.03,150.4,150.4,150.4,-2.54,NA,-2.54,-2.8,-2.9,-2.85,34.87377,-118.89568,980,-0.31
FT,218-12,218,drought2,102.7,75,2.09,70,60,40,0.15,0.12,0.13,0.12,1211,1135,-3.0275,-2.8375,-3.1499,-2.9918,-3.0709,60651,NA,60651,0.11,NA,0.11,157.9,157.9,157.9,-1.78,NA,-1.78,-3.34,NA,-3.34,34.87377,-118.89568,980,-1.56
FT,220-10,220,control2,146.8,82,2.06,85,55,30,0.17,0.09,0.11,0.1,960,1025,-2.4,-2.5625,-2.6278,-2.763,-2.6954,30260,20718,25489,0.05,0.05,0.05,324.5,324.5,324.5,-0.29,-0.44,-0.365,-1.13,-1.58,-1.355,34.87311,-118.8935,972,-0.99
FT,220-13,220,drought1,146.8,89,2.15,105,55,30,0.16,0.1,0.1,0.1,1031,855,-2.5775,-2.1375,-2.7755,-2.4094,-2.5925,44700,26090,35395,0.112,0.0653,0.08865,227.8,227.8,227.8,-1.6,NA,-1.6,-1.212,NA,-1.212,34.87311,-118.8935,972,0.388
FT,220-15,220,drought1,146.8,96,1.54,90,50,30,0.17,0.06,0.07,0.07,812,736,-2.03,-1.84,-2.32,-2.1619,-2.241,18374,18227,18301,0.0358,0.0382,0.037,198.2,198.2,198.2,-1.33,NA,-1.33,-1.18,NA,-1.18,34.87311,-118.8935,972,0.15
FT,220-16,220,control2,146.8,124,1.95,75,50,30,0.17,0.11,0.1,0.11,685,699,-1.7125,-1.7475,-2.0558,-2.0849,-2.0704,41339,31588,36464,0.09,0.07,0.08,249.9,249.9,249.9,-0.83,-0.64,-0.735,-2.08,-1.18,-1.63,34.87311,-118.8935,972,-0.895
FT,221-06,221,drought2,127.1,75,2.88,150,75,40,0.14,0.07,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,29245,32961,31103,0.06,0.08,0.07,144,144,144,-2.01,NA,-2.01,-3.9,NA,-3.9,34.87413,-118.89376,973,-1.89
FT,221-14,221,drought2,127.1,96,2.49,120,75,50,0.14,0.1,NA,0.1,3590,3390,-8.975,-8.475,NA,NA,NA,19882,NA,19882,0.05,NA,0.05,143.6,143.6,143.6,NA,NA,NA,-2.3,NA,-2.3,34.87413,-118.89376,973,NA
MC,345-01,345,drought1,196.2,89,4.08,200,100,50,0.13,0.1,NA,0.1,599,929,-1.4975,-2.3225,-1.8769,-2.5633,-2.2201,22146,NA,22146,0.1838,NA,0.1838,255.4,255.4,255.4,-0.789,NA,-0.789,-1.01,NA,-1.01,34.09538,-118.71702,154,-0.221
MC,345-03,345,drought1,196.2,89,3.01,120,85,40,0.17,0.09,0.1,0.1,923,939,-2.3075,-2.3475,-2.5508,-2.5841,-2.5675,15388,11209,13299,0.038,0.0299,0.03395,189.5,189.5,189.5,-0.923,NA,-0.923,-1.8,NA,-1.8,34.09538,-118.71702,154,-0.877
MC,345-04,345,control1,196.2,110,3.23,130,80,45,0.17,0.12,NA,0.12,748,806,-1.87,-2.015,-2.1868,-2.3075,-2.2472,10852,NA,10852,0.0401,NA,0.0401,NA,NA,NA,-0.93,NA,-0.93,-2.55,NA,-2.55,34.09538,-118.71702,154,-1.62
MC,346-10,346,control2,81.9,152,1.69,60,35,20,0.19,0.13,0.14,0.13,1051,1057,-2.6275,-2.6425,-2.8171,-2.8296,-2.8234,40483,16075,28279,NA,NA,NA,256.1,256.1,256.1,-0.13,NA,-0.13,-0.99,NA,-0.99,34.09775,-118.71652,165,-0.86
MC,346-13,346,control2,81.9,152,1.69,60,35,20,0.19,0.06,NA,0.06,558,668,-1.395,-1.67,-1.7916,-2.0204,-1.906,11994,NA,11994,NA,NA,NA,366.3,366.3,366.3,NA,NA,NA,NA,NA,NA,34.09775,-118.71652,165,NA
MC,347-08,347,drought2,158.4,75,2.47,70,80,50,0.15,0.1,0.11,0.11,1038,1064,-2.595,-2.66,-2.79,-2.8441,-2.8171,29490,NA,29490,0.07,NA,0.07,166.2,166.2,166.2,NA,NA,NA,-2.08,NA,-2.08,34.09797,-118.71558,167,NA
MC,347-13,347,drought2,158.4,89,1.98,60,55,30,0.14,0.14,0.13,0.14,979,978,-2.4475,-2.445,-2.6673,-2.6652,-2.6663,57021,NA,57021,0.13,NA,0.13,152,152,152,-3,NA,-3,-3.2,NA,-3.2,34.09797,-118.71558,167,-0.2
MC,349-13,349,control1,130.5,96,1.54,60,25,20,0.19,0.11,NA,0.11,698,NA,-1.745,NA,-2.0828,NA,-2.0828,60763,NA,60763,0.136,NA,0.136,384.6,384.6,384.6,-0.498,NA,-0.498,-0.65,NA,-0.65,34.09605,-118.71721,164,-0.152
MC,349-14,349,control1,130.5,110,2.14,60,55,40,0.13,0.13,NA,0.13,690,692,-1.725,-1.73,-2.0662,-2.0704,-2.0683,32917,NA,32917,0.0535,NA,0.0535,379.1,379.1,379.1,-0.395,NA,-0.395,-1.377,NA,-1.377,34.09605,-118.71721,164,-0.982
MC,350-02,350,drought1,139.6,49,2.45,115,65,45,0.16,0.12,0.1,0.11,871,869,-2.1775,-2.1725,-2.4427,-2.4385,-2.4406,48721,43502,46112,0.123,0.111,0.117,179.5,179.5,179.5,-0.84,NA,-0.84,-1.663,NA,-1.663,34.09808,-118.71538,160,-0.823
MC,350-06,350,control2,139.6,61,2.15,80,70,45,0.13,0.09,0.08,0.09,798,828,-1.995,-2.07,-2.2908,-2.3532,-2.322,22457,17736,20096,0.04,0.05,0.045,359,359,359,-0.45,-0.49,-0.47,-1.45,-0.73,-1.09,34.09808,-118.71538,160,-0.62
MC,350-13,350,control2,139.6,82,2.58,90,65,45,0.15,0.13,0.14,0.13,935,1133,-2.3375,-2.8325,-2.5758,-2.9876,-2.7817,52750,50137,51443,0.14,0.16,0.15,273.8,273.8,273.8,-0.48,-0.52,-0.5,-1.45,-1.3,-1.375,34.09808,-118.71538,160,-0.875
MC,350-15,350,drought1,139.6,89,2.48,110,70,45,0.13,0.1,0.08,0.09,817,986,-2.0425,-2.465,-2.3304,-2.6819,-2.5062,34078,18336,26207,0.155,0.134,0.1445,206.6,206.6,206.6,-0.47,NA,-0.47,-1.08,NA,-1.08,34.09808,-118.71538,160,-0.61
MC,351-12,351,drought2,155,75,1.94,90,50,35,0.13,0.11,0.11,0.11,1240,1252,-3.1,-3.13,-3.2102,-3.2352,-3.2227,33018,15884,24451,0.07,0.03,0.05,149.2,149.2,149.2,-3.05,NA,-3.05,-3.5,NA,-3.5,34.09798,-118.71614,157,-0.45
MC,351-14,351,drought2,155,49,2.33,65,50,25,0.15,0.12,0.1,0.11,1019,999,-2.5475,-2.4975,-2.7505,-2.7089,-2.7297,50237,NA,50237,0.1,0.04,0.07,165,165,165,-2.52,NA,-2.52,-3.38,NA,-3.38,34.09798,-118.71614,157,-0.86
PL,508-01,508,control1,141.2,69,2.41,70,50,30,0.16,0.11,0.1,0.11,824,834,-2.06,-2.085,-2.3449,-2.3657,-2.3553,58539,35529,47034,0.129,0.0693,0.09915,365.8,365.8,365.8,-0.4,NA,-0.4,-1.1,NA,-1.1,40.28987,-122.60182,220,-0.7
PL,508-09,508,control1,141.2,110,1.63,90,60,25,0.14,0.1,0.09,0.1,824,821,-2.06,-2.0525,-2.3449,-2.3387,-2.3418,17759,14776,16268,0.0349,0.0239,0.0294,376,376,376,-0.995,-0.36,-0.6775,-1.31,-1.05,-1.18,40.28987,-122.60182,220,-0.5025
PL,509-05,509,control2,73.8,82,1.89,140,60,30,0.15,0.11,0.12,0.11,812,802,-2.03,-2.005,-2.32,-2.2992,-2.3096,36957,36072,36515,NA,NA,NA,274.7,274.7,274.7,-0.36,NA,-0.36,-1.59,NA,-1.59,40.28982,-122.61132,224,-1.23
PL,509-06,509,drought1,73.8,82,1.75,135,55,30,0.14,0.07,0.06,0.06,943,829,-2.3575,-2.0725,-2.5924,-2.3553,-2.4739,52298,19846,36072,0.113,0.0351,0.07405,214.5,214.5,214.5,-1.76,-0.51,-1.135,-1.34,-1.51,-1.425,40.28982,-122.61132,224,-0.29
PL,509-12,509,control2,73.8,110,1.34,75,55,35,0.14,0.11,0.1,0.1,1099,926,-2.7475,-2.315,-2.9169,-2.5571,-2.737,12561,10887,11724,0.03,0.02,0.025,392.6,392.6,392.6,-0.36,NA,-0.36,-1.09,NA,-1.09,40.28982,-122.61132,224,-0.73
PL,509-15,509,drought1,73.8,159,1.51,90,55,25,0.14,0.11,0.09,0.1,1029,872,-2.5725,-2.18,-2.7713,-2.4448,-2.6081,69000,62650,65825,0.178,0.152,0.165,174.8,174.8,174.8,-1.54,NA,-1.54,-1.788,NA,-1.788,40.28982,-122.61132,224,-0.248
PL,510-09,510,drought2,96.6,89,1.9,80,55,35,0.12,0.09,0.11,0.1,1117,1069,-2.7925,-2.6725,-2.9544,-2.8545,-2.9045,52454,NA,52454,0.11,NA,0.11,152,152,152,-1.5,NA,-1.5,-2.9,NA,-2.9,40.29992,-122.69159,278,-1.4
PL,510-10,510,drought2,96.6,89,1.89,90,60,35,0.12,0.11,0.1,0.11,1247,1236,-3.1175,-3.09,-3.2248,-3.2019,-3.2134,30476,NA,30476,0.07,NA,0.07,137.8,137.8,137.8,NA,NA,NA,NA,NA,NA,40.29992,-122.69159,278,NA
PL,512-10,512,drought1,209.9,82,3.75,125,55,50,0.16,0.1,0.08,0.09,871,830,-2.1775,-2.075,-2.4427,-2.3574,-2.4001,48659,39239,43949,0.119,0.109,0.114,162.7,162.7,162.7,-2.62,NA,-2.62,-2.31,NA,-2.31,40.31898,-122.78387,459,0.31
PL,512-13,512,drought2,209.9,96,2.74,95,60,45,0.15,0.1,0.09,0.1,2945,2030,-7.3625,-5.075,NA,NA,NA,56746,42445,49595,0.15,NA,0.15,147.3,147.3,147.3,-1.24,NA,-1.24,-3.9,-2.8,-3.35,40.31898,-122.78387,459,-2.11
PL,513-01,513,control2,148.9,61,1.82,60,60,40,0.19,0.11,0.11,0.11,939,796,-2.3475,-1.99,-2.5841,-2.2867,-2.4354,53507,68489,60998,0.12,0.17,0.145,252.3,252.3,252.3,-0.6,NA,-0.6,-1.79,NA,-1.79,40.31919,-122.78493,460,-1.19
PL,513-06,513,control2,148.9,61,2.14,105,55,35,0.13,0.1,0.11,0.11,869,868,-2.1725,-2.17,-2.4385,-2.4364,-2.4375,65388,77481,71435,NA,NA,NA,214.2,214.2,214.2,-0.41,NA,-0.41,-1.09,-1,-1.045,40.31919,-122.78493,460,-0.635
PL,513-08,513,control1,148.9,69,2.01,160,55,35,0.13,0.08,NA,0.08,905,900,-2.2625,-2.25,-2.5134,-2.503,-2.5082,45585,NA,45585,0.0788,NA,0.0788,359.7,359.7,359.7,NA,NA,NA,-1.887,NA,-1.887,40.31919,-122.78493,460,NA
PL,514-04,514,drought2,163.6,61,1.77,30,30,15,0.15,0.11,0.1,0.11,1000,1058,-2.5,-2.645,-2.711,-2.8316,-2.7713,24036,NA,24036,0.06,NA,0.06,165.9,165.9,165.9,-2.1,NA,-2.1,-1.31,NA,-1.31,40.31926,-122.7851,459,0.79
PL,514-06,514,control1,163.6,61,1.99,65,55,40,0.16,0.1,NA,0.1,750,779,-1.875,-1.9475,-2.191,-2.2513,-2.2212,47368,NA,47368,0.0765,NA,0.0765,344.9,344.9,344.9,-0.42,NA,-0.42,-1.19,NA,-1.19,40.31926,-122.7851,459,-0.77
PL,514-10,514,drought1,163.6,69,2.66,90,55,35,0.13,0.09,0.08,0.09,1045,1024,-2.6125,-2.56,-2.8046,-2.7609,-2.7828,33402,30146,31774,0.083,0.078,0.0805,222.5,222.5,222.5,-0.471,NA,-0.471,-1.02,NA,-1.02,40.31926,-122.7851,459,-0.549
RD,529-05,529,drought1,115.2,69,2.21,110,70,35,0.15,0.09,NA,0.09,854,1046,-2.135,-2.615,-2.4073,-2.8067,-2.607,99806,NA,99806,0.227,NA,0.227,159.4,159.4,159.4,-1.005,NA,-1.005,-2.83,NA,-2.83,40.57071,-122.37843,146,-1.825
RD,529-11,529,control1,115.2,89,1.63,90,70,35,0.15,0.1,NA,0.1,846,979,-2.115,-2.4475,-2.3907,-2.6673,-2.529,34439,NA,34439,0.0807,NA,0.0807,345.5,345.5,345.5,-1.01,NA,-1.01,-0.89,NA,-0.89,40.57071,-122.37843,146,0.12
RD,529-13,529,drought1,115.2,82,2.02,95,60,30,0.12,0.1,0.11,0.11,756,797,-1.89,-1.9925,-2.2035,-2.2888,-2.2462,27277,10413,18845,0.0731,0.0262,0.04965,189.4,189.4,189.4,-0.462,NA,-0.462,-1.62,NA,-1.62,40.57071,-122.37843,146,-1.158
RD,530-05,530,control2,190.2,69,3.66,110,65,55,0.12,0.11,0.11,0.11,1015,940,-2.5375,-2.35,-2.7422,-2.5862,-2.6642,54524,42527,48525,0.15,0.12,0.135,223.4,223.4,223.4,-1.15,-1.1,-1.125,-1.32,-1.22,-1.27,40.57021,-122.37802,146,-0.145
RD,530-13,530,control1,190.2,96,3.55,115,75,50,0.13,0.12,0.12,0.12,839,794,-2.0975,-1.985,-2.3761,-2.2825,-2.3293,44292,45205,44749,0.114,0.128,0.121,365.6,365.6,365.6,-0.45,NA,-0.45,-1.36,NA,-1.36,40.57021,-122.37802,146,-0.91
RD,530-14,530,control2,190.2,103,2.68,140,75,50,0.12,0.11,0.12,0.12,868,846,-2.17,-2.115,-2.4364,-2.3907,-2.4136,42489,35302,38895,0.12,0.08,0.1,302.7,302.7,302.7,-0.49,-0.46,-0.475,-1.43,-1.25,-1.34,40.57021,-122.37802,146,-0.865
RD,532-01,532,drought2,124,54,2.36,160,65,30,0.12,0.06,0.07,0.07,NA,NA,NA,NA,NA,NA,NA,65955,NA,65955,0.16,NA,0.16,142.6,142.6,142.6,NA,NA,NA,-3.02,NA,-3.02,40.61283,-122.34853,179,NA
RD,532-12,532,drought2,124,103,2.32,90,50,25,0.16,0.1,0.08,0.09,1189,1049,-2.9725,-2.6225,-3.1041,-2.8129,-2.9585,27660,12437,20048,0.07,0.03,0.05,161.6,161.6,161.6,NA,-1.45,-1.45,-2.5,-2.1,-2.3,40.61283,-122.34853,179,-0.85
RD,533-02,533,control1,107.8,75,2.54,155,50,30,0.14,0.08,0.09,0.09,782,823,-1.955,-2.0575,-2.2576,-2.3428,-2.3002,26397,21661,24029,0.0564,0.0521,0.05425,356.7,356.7,356.7,-0.631,NA,-0.631,-1.094,NA,-1.094,40.61291,-122.34833,178,-0.463
RD,533-07,533,drought1,107.8,89,2.02,85,55,30,0.15,0.1,NA,0.1,737,712,-1.8425,-1.78,-2.164,-2.112,-2.138,31730,NA,31730,0.0595,NA,0.0595,210.3,210.3,210.3,-1.07,NA,-1.07,-1.77,NA,-1.77,40.61291,-122.34833,178,-0.7
